Categorisation,Subcategories,Barcode,Name,Form,Product code ,SDS,Cas_No1,"Content1
(% )",Cas_No2,"Content2
(% )",Cas_No3,"Content3
(% )",Cas_No4,"Content4
(% )",Cas_No5,"Content5
(% )",Cas_No6,"Content6
(% )",Cas_No7,"Content7
(% )",Cas_No8,"Content8
(% )",Cas_No9,"Content9
(% )",Cas_No10,"Content10
(% )",Cas_No11,"Content11
(% )",Cas_No12,"Content12
(% )"
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Flow wrap 23gsm 200mm x 200mm 200 wipes per pack ,Liquid/Wipes,MRB1185 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Flow wrap 50gsm 151mm x 200mm 80 wipes per pack maceratable ,Liquid/Wipes,MRB1186 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Flow wrap 50gsm 151mm x 200mm 24 wipes per pack maceratable ,Liquid/Wipes,MRB1187 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Flow wrap 45gsm 151mm x 200mm 80 wipes per pack ,Liquid/Wipes,MRB1189 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Flow wrap 45gsm 151mm x 200mm 24 wipes per pack ,Liquid/Wipes,MRB1190 ,https://media.supplychain.nhs.uk/media/documents/MRB1190/COSHH/72005_MRB1190%20-%20MK1385%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Flow wrap 23gsm 151mm x 200mm 120 wipes per pack ,-,MRB1192 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Hands Antibacterial 45gsm 190mm x 140mm Individually Wrapped 800 Wipes Per Case ,-,MRB1193 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),,Environmental disinfection 1 Litre Diluter for Chlor-Clean x 420 Pieces,-,MRB1197 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),,Environmental disinfection 5 Litre Diluter for Chlor-Clean x 180 Pieces,-,MRB1198 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant BIOCIDE?(8),,Skin Disinfectant BIOCIDE Bottle 500ml Chlorhexidine 2% in 70% Alcohol - no applicator nozzle ,Liquid,MRB1199 ,https://media.supplychain.nhs.uk/media/documents/MRB1199/COSHH/69703_MRB1199.pdf,67-63-0 ,50 to 100,18472-51-0,0 to 2.5,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Antibacterial hand wipes 50gsm 200mm x150mm 100 wipes per box ,-,MRB1202 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Antibacterial hand wipes individually wrapped 50gsm 200x150mm 100 wipes per wall dispenser maceratable ,-,MRB1203 ,https://media.supplychain.nhs.uk/media/documents/MRB1203/Specification/70041_MRB1203.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),5.06047E+12,Environmental disinfection Chloricide chlorine releasing disinfectant tablets - 1.7g troclosene sodium (NaDCC) per tablet. 200 tablets per tub ,Powder,MRB1204 ,https://media.supplychain.nhs.uk/media/documents/MRB1204/COSHH/69718_MRB1204.pdf,2893-78-9,50 to 70,124-04-9,10 to 30,497-19-8,1 to 10,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),5.06047E+12,Environmental disinfection Chloricide plus chlorine releasing 2-in-1 disinfectant cleaner tablets. 1.7g troclosene sodium (NaDCC) per tablet. 100 tablets per tub,Powder,MRB1205 ,https://media.supplychain.nhs.uk/media/documents/MRB1205/COSHH/69719_MRB1205.pdf,2893-78-9,50 to 70,124-04-9,10 to 30,497-19-8,1 to 10,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Antibacterial Hand 45gsm 190mm x 140mm Individually Wrapped 100 Wipes Per Carton ,-,MRB1207 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Continence care wipes 70gsm 300mm x 200mm ,Liquid/Wipes,MRB1208 ,https://media.supplychain.nhs.uk/media/documents/MRB1208/COSHH/70668_MRB1208%20M.S.D.S.pdf,Unknown,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),,Environmental disinfection 1.7g troclosene sodium (naDCC) per tablet 170 tablets per pack colour white unique safety lid on container ,Tablet,MRB1210 ,https://media.supplychain.nhs.uk/media/documents/MRB1210/COSHH/70718_MRB1210.pdf,2893-78-9,30 to 60,124-04-9,10 to 30,497-19-8,1 to 10,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),,Environmental disinfection 1.7g troclosene sodium (naDCC) with detergent per tablet 170 tablets per pack colour white unique safety lid on container ,Tablet,MRB1211 ,https://media.supplychain.nhs.uk/media/documents/MRB1211/COSHH/70719_MRB1211.pdf,2893-78-9,53,124-04-9,10 to 30,12068-03-0,5 to 10,137-16-6,1 to 5,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Antibacterial hand wipes sachets 200mm x 275 mm 34gsm box of 200 ,-,MRB1213 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Baby flow wrap 50gsm 200 x 160mm 12 wipes per pack ,-,MRB1220 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Flow wrap 55gsm 120 x 200mm 10 wipes per pack ,-,MRB188 ,https://media.supplychain.nhs.uk/media/documents/MRB188/COSHH/43381_MRB188_001.pdf,9005-64-5,<0.4,99-76-3,<0.0835,94-13-3,<0.028,52-51-7,<0.028,77-92-9,<0.001,7732-18-5,92 to 97,139-33-3,<0.05,122-99-6,<0.4125,1968-04-02,<0.57,84878-33-1,0.05 to 0.1,8005-44-5,0.025 to 0.05,68439-49-6,0.025 to 0.05
Advanced infection control solutions (91),Denatured ethanol for clinical disinfection?(1),4.02816E+12,Denatured ethanol for clinical disinfection Denatured ethanol 70% 200ml pump spray,-,MRB261,https://media.supplychain.nhs.uk/media/documents/MRB261/COSHH/66544_MRB261.pdf,64-17-5,50 to 100,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),5.03475E+12,Environmental disinfection Diluter bottle 1 litre with lid for use with 1.7g chlorine releasing tablets with detergent ,-,MRB277 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),,Environmental disinfection Diluter bottle 2.5 litre for use with MRB285 1.7g chlorine releasing tablets with detergent ,-,MRB278 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),,Environmental disinfection Chlorine releasing granules 500g ,Solid,MRB279 ,https://media.supplychain.nhs.uk/media/documents/MRB279/COSHH/66142_MRB279.pdf,2893-78-9,30 to 60,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),,Environmental disinfection Chlorine Releasing 500 Tablets 0.5g,Tablet,MRB280 ,https://media.supplychain.nhs.uk/media/documents/MRB280/COSHH/66143_MRB280.pdf,2893-78-9,30 to 60,124-04-9,10 to 30,497-19-8,1 to 5,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),4.02816E+12,Environmental disinfection Chlorine releasing tablets 1.7g ,Solid,MRB282 ,https://media.supplychain.nhs.uk/media/documents/MRB282/COSHH/56271_MRB282.pdf,2893-78-9,30 to 60,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),4.02816E+12,Environmental disinfection Chlorine releasing tablets 2.5g,Solid,MRB283 ,https://media.supplychain.nhs.uk/media/documents/MRB283/COSHH/66553_MRB283.pdf,2893-78-9,50 to 100,124-04-9,20 to 25,497-19-8,3 to 5,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),,Environmental disinfection Chlorine releasing 100 tablets 4.5g,Tablet,MRB284 ,https://media.supplychain.nhs.uk/media/documents/MRB284/COSHH/66144_MRB284.pdf,2893-78-9,60 to 99,532-32-1,1 to 5,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),,Environmental disinfection Chlorine releasing tablets with detergent 1.7g,Tablet,MRB285 ,https://media.supplychain.nhs.uk/media/documents/MRB285/COSHH/66145_MRB285.pdf,2893-78-9,10 to 30,124-04-9,10 to 30,12068-03-0,5 to 10,137-16-6,1 to 5,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),,Environmental disinfection Diluter bottle 1 litre for use with 4.5g chlorine releasing tablets ,-,MRB287 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),,Environmental disinfection Diluter bottle 2.5 litre for use with 4.5 chlorine releasing tablets ,-,MRB288,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Nail varnish remover?(2),5.01131E+12,Nail varnish remover Acetone bottle 50ml ,-,MRB295 ,https://media.supplychain.nhs.uk/media/documents/MRB295/COSHH/64868_MRB295.pdf,67-64-1,>90,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Mouthwash LICENSED MEDICINES?(2),4.02816E+12,Mouthwash LICENSED MEDICINES 0.2% Chlorhexidine peppermint 300ml NON RETURNABLE ,-,MRB296 ,https://media.supplychain.nhs.uk/media/documents/MRB296/Specification/66434_MRB296.pdf,"18472-51-0
242-354-0 ",0.1 to 0.25,64-17-5 ,2.5 to 5,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Mouthwash LICENSED MEDICINES?(2),4.02816E+12,Mouthwash LICENSED MEDICINES 0.2% Chlorhexidine original 300ml NON RETURNABLE ,-,MRB297,https://media.supplychain.nhs.uk/media/documents/MRB297/COSHH/36758_MRB297.pdf,64-17-5 ,2.5 to 5,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),4.02816E+12,Skin Disinfectant LICENSED MEDICINES 0.5% Chlorhexidine denatured ethanol 70% spray 200ml pink NON RETURNABLE ,-,MRB300,https://media.supplychain.nhs.uk/media/documents/MRB300/COSHH/36759_MRB300.pdf,64-17-5 ,50 to 75,18472-51-0,<1,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),4.02816E+12,Skin Disinfectant LICENSED MEDICINES 0.5% Chlorhexidine denatured ethanol 70% spray 500ml pink NON RETURNABLE,-,MRB301 ,https://media.supplychain.nhs.uk/media/documents/MRB301/COSHH/36760_MRB301.pdf,64-17-5 ,50 to 75,18472-51-0,<1,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),,Skin Disinfectant LICENSED MEDICINES 2% Chlorhexidine gluconate in 70% IPA sterile 0.67ml NON RETURNABLE ,Liquid,MRB302 ,https://media.supplychain.nhs.uk/media/documents/MRB302/COSHH/66150_MRB302.pdf,67-63-0 ,70,18472-51-0,2,2783-94-0,<0.1,2353-45-9,<0.1,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),,Skin Disinfectant LICENSED MEDICINES 2% Chlorhexidine gluconate in 70% IPA sterile 1.5ml applicator NON RETURNABLE ,Liquid,MRB303 ,https://media.supplychain.nhs.uk/media/documents/MRB303/COSHH/66151_MRB303.pdf,67-63-0 ,70,18472-51-0,2,2783-94-0,<0.1,2353-45-9,<0.1,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),,Skin Disinfectant LICENSED MEDICINES 2% Chlorhexidine gluconate in 70% IPA sterile 10.5ml applicator NON RETURNABLE ,Liquid,MRB304 ,https://media.supplychain.nhs.uk/media/documents/MRB304/COSHH/66152_MRB304.pdf,67-63-0 ,70,18472-51-0,2,2783-94-0,<0.1,2353-45-9,<0.1,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),,Skin Disinfectant LICENSED MEDICINES 2% Chlorhexidine gluconate in 70% IPA sterile 26ml applicator NON RETURNABLE ,Liquid,MRB305 ,https://media.supplychain.nhs.uk/media/documents/MRB305/COSHH/66153_MRB305.pdf,67-63-0 ,70,18472-51-0,2,2783-94-0,<0.1,2353-45-9,<0.1,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),,Skin Disinfectant LICENSED MEDICINES 2% Chlorhexidine gluconate in 70% IPA sterile 3ml applicator NON RETURNABLE ,Liquid,MRB306 ,https://media.supplychain.nhs.uk/media/documents/MRB306/COSHH/66154_MRB306.pdf,67-63-0 ,70,18472-51-0,2,2783-94-0,<0.1,2353-45-9,<0.1,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin care?(2),4.02816E+12,Skin care Yellow soft paraffin 15g ,-,MRB316,https://media.supplychain.nhs.uk/media/documents/MRB316/COSHH/36764_MRB316.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),5.03848E+12,Skin Disinfectant LICENSED MEDICINES 4% Chlorhexidine surgical scrub solution 250ml NON RETURNABLE ,Liquid,MRB319 ,https://media.supplychain.nhs.uk/media/documents/MRB319/COSHH/66214_MRB319.pdf,1643-20-5,1 to 5,67-63-0,1 to 5,56-81-5,1 to 5,18472-51-0,1 to 5,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),4.02816E+12,Skin Disinfectant LICENSED MEDICINES 4% Chlorhexidine surgical scrub solution 500ml NON RETURNABLE ,Liquid,MRB320 ,https://media.supplychain.nhs.uk/media/documents/MRB320/COSHH/36766_MRB320.pdf,56-81-5,10 to 15,18472-51-0,1 to 5,70592-80-2,1 to 5,64-17-5 ,1 to 5,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),5.03848E+12,Skin Disinfectant LICENSED MEDICINES 4% Chlorhexidine surgical scrub solution 500ml NON RETURNABLE ,Liquid,MRB321 ,https://media.supplychain.nhs.uk/media/documents/MRB321/COSHH/66215_MRB321.pdf,1643-20-5 ,1 to 5,67-63-0 ,1 to 5,56-81-5,1 to 5,18472-51-0,1 to 5,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant BIOCIDE?(8),7.33255E+12,Skin Disinfectant BIOCIDE Bottle 500ml chlorhexidine gluconate 0.5% hand rub ,Liquid,MRB323 ,"https://media.supplychain.nhs.uk/media/documents/MRB323/COSHH/43462_MRB323_001.pdf
https://media.supplychain.nhs.uk/media/documents/MRB323/COSHH/66216_MRB323.pdf",67-63-0 ,30 to 60,18472-51-0,0.5,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),4.02816E+12,Skin Disinfectant LICENSED MEDICINES 7.5% Povidone iodine surgical scrub solution 500ml NON RETURNABLE ,Liquid,MRB328 ,https://media.supplychain.nhs.uk/media/documents/MRB328/COSHH/36767_MRB328.pdf,9051-57-4,1 to 5,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),4.02816E+12,Skin Disinfectant LICENSED MEDICINES 0.5% Chlorhexidine denatured ethanol 70% solution 600ml clear NON RETURNABLE ,Liquid,MRB332 ,https://media.supplychain.nhs.uk/media/documents/MRB332/COSHH/36768_MRB332.pdf,64-17-5 ,50 to 75,18472-51-0,<1,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),4.02816E+12,Skin Disinfectant LICENSED MEDICINES 0.5% Chlorhexidine denatured ethanol 70% solution 600ml pink NON RETURNABLE ,Liquid,MRB333 ,https://media.supplychain.nhs.uk/media/documents/MRB333/COSHH/36769_MRB333.pdf,64-17-5 ,50 to 75,18472-51-0,<1,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Staining Liquid/Dye?(1),4.02816E+12,Staining Liquid/Dye Staining liquid red dye 12ml ,-,MRB334 ,https://media.supplychain.nhs.uk/media/documents/MRB334/COSHH/68133_MRB334.pdf,,N,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),4.02816E+12,Skin Disinfectant LICENSED MEDICINES 10% Povidone iodine alcoholic solution 500ml NON RETURNABLE ,Liquid,MRB335 ,https://media.supplychain.nhs.uk/media/documents/MRB335/COSHH/36771_MRB335.pdf,64-17-5 ,50 to 75,25655-41-8,1 to 2.5,67-56-1 ,<3,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),4.02816E+12,Skin Disinfectant LICENSED MEDICINES 10% Povidone Iodine antiseptic solution 500ml NON RETURNABLE ,Liquid,MRB336 ,https://media.supplychain.nhs.uk/media/documents/MRB336/COSHH/36772_MRB336.pdf,56-81-5,1 to 5,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Catheter urethral anaesthetic lubricating gel?(2),5.01795E+12,Catheter urethral anaesthetic lubricating gel Licensed Medicines 2% lidocaine 0.05% chlorhexidine gel 11ml NON RETURNABLE,-,MRB337,https://media.supplychain.nhs.uk/media/documents/MRB337/Marketing/71472_MRB337.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Catheter urethral anaesthetic lubricating gel?(2),5.01795E+12,"Catheter urethral anaesthetic lubricating gel Licensed Medicines 2% lidocaine 0.25% chlorhexidine gel 6ml NON RETURNABLE
",-,MRB338,https://media.supplychain.nhs.uk/media/documents/MRB338/Marketing/71473_MRB338.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),4.02816E+12,Environmental disinfection Chlorine releasing granules 500g ,Powder,MRB349 ,https://media.supplychain.nhs.uk/media/documents/MRB349/COSHH/66556_MRB349.pdf,2893-78-9,50 to 100,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Irrigation Fluid?(8),,Irrigation Fluid 0.9% Sodium Chloride solution sachet 100ml 10 sachets per pack ,-,MRB357 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Irrigation Fluid?(8),7.32319E+12,Irrigation Fluid 0.9% Sodium Chloride solution sachet 25ml 25 sachets per pack ,-,MRB358 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Irrigation Fluid?(8),7.32319E+12,Irrigation Fluid 0.9% Sodium Chloride solution pod 20ml 25 pods per pack ,-,MRB359 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),4.02816E+12,Skin Disinfectant LICENSED MEDICINES 4% Chlorhexidine surgical scrub solution 250ml NON RETURNABLE ,Liquid,MRB387 ,https://media.supplychain.nhs.uk/media/documents/MRB387/COSHH/66436_MRB387.pdf,70592-80-2,3 to 5,67-56-1 ,0.25 to 0.1,18472-51-0,3 to 5,56-81-5,,64-17-5 ,2.5 to 5,,,,,,,,,,,,,,
Body wash?(1),Bodywash and associated products (1),,Bodywash and associated products Pack containing 1 x foam 200ml 1 x gel light 30ml and 1 x pronto oral 250ml,-,MRB412,https://media.supplychain.nhs.uk/media/documents/MRB412/COSHH/66291_MRB412.pdf,27083-27-8,0.1 to 0.25,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),7.32319E+12,Skin Disinfectant LICENSED MEDICINES Bottle 125ml chlorhexidine gluconate 4% body wash NON RETURNABLE ,-,MRB475 ,https://media.supplychain.nhs.uk/media/documents/MRB475/COSHH/66217_MRB475.pdf,1643-20-5,1 to 5,67-63-0 ,1 to 5,56-81-5,1 to 5,18472-51-0,1 to 5,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),,Skin Disinfectant LICENSED MEDICINES 2% Chlorhexidine gluconate in 70% IPA sterile with tint 3ml applicator NON RETURNABLE ,-,MRB494 ,https://media.supplychain.nhs.uk/media/documents/MRB494/COSHH/66155_MRB494.pdf,67-63-0 ,70,18472-51-0,2,2783-94-0,0.35 to 1.25,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),,Skin Disinfectant LICENSED MEDICINES 2% Chlorhexidine gluconate in 70% IPA sterile with tint 10.5ml applicator NON RETURNABLE ,-,MRB495 ,https://media.supplychain.nhs.uk/media/documents/MRB495/COSHH/66156_MRB495.pdf,67-63-0 ,70,18472-51-0,2,2783-94-0,0.35 to 1.25,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),,Skin Disinfectant LICENSED MEDICINES 2% Chlorhexidine gluconate in 70% IPA sterile with tint 26ml applicator NON RETURNABLE ,Liquid,MRB496 ,https://media.supplychain.nhs.uk/media/documents/MRB496/COSHH/66157_MRB496.pdf,67-63-0 ,70,18472-51-0,2,2783-94-0,0.35 to 1.25,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant LICENSED MEDICINES?(21),,Skin Disinfectant LICENSED MEDICINES 2% Chlorhexidine gluconate in 70% IPA sterile 1.5ml applicator NON RETURNABLE ,Liquid,MRB561 ,https://media.supplychain.nhs.uk/media/documents/MRB561/COSHH/66158_MRB561.pdf,67-63-0 ,70,18472-51-0,2,2783-94-0,<0.1,2353-45-9,<0.1,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant BIOCIDE?(8),4.02816E+12,Skin Disinfectant BIOCIDE Bottle 500ml chlorhexidine 2% in 70% IPA ,Liquid,MRB613 ,https://media.supplychain.nhs.uk/media/documents/MRB613/COSHH/69591_MRB613.pdf,67-63-0 ,50 to 100,18472-51-0,0 to 2.5,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant BIOCIDE?(8),4.02816E+12,Skin Disinfectant BIOCIDE Bottle 200ml chlorhexidine 2% in 70% IPA ,Liquid,MRB620 ,https://media.supplychain.nhs.uk/media/documents/MRB620/COSHH/67925_MRB620.pdf,67-63-0 ,50 to 100,18472-51-0,0 to 2.5,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Specimen preservation solution(1),5.06008E+12,Specimen preservation solution Formaldehyde buffered solution 1000 ml ,-,MRB738 ,https://media.supplychain.nhs.uk/media/documents/MRB738/COSHH/34682_MRB738.pdf,50-00-0,3.5 to 4.5,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Irrigation Fluid?(8),5.01436E+12,Irrigation Fluid 0.9% Sodium Chloride soln pod 20ml 4002 ,Tablet,MRB742 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),,Environmental disinfection Chlorine releasing 200 tablets with detergent 1.7 g ,-,MRB751 ,https://media.supplychain.nhs.uk/media/documents/MRB751/COSHH/66146_MRB751.pdf,2893-78-9,10 to 30,124-04-9,10 to 30,12068-03-0,5 to 10,137-16-6,1 to 5,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin care?(2),5.01131E+12,Skin care Zinc & castor oil cream bp 100g ,-,MRB936,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),,Environmental disinfection Hazard scoops and scrapers orange pack of 50,Liquid/Wipes,MRB937 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe alcohol based (21),,Wipe alcohol based 70% alcohol + quaternary ammonium 23 gsm 205mm x 220mm 200 wipes per canister class ii medical device ,Liquid/Wipes,VJT007 ,https://media.supplychain.nhs.uk/media/documents/VJT007/COSHH/66760_VJT007.pdf,68391-01-5 ,0.1 to 0.15,85409-23-0 ,0.1 to 0.15,67-63-0,50 to 80,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe multi-surface detergent (26),,Wipe multi-surface detergent 33gsm 330 x 220mm 50 wipes per pack ,-,VJT032 ,https://media.supplychain.nhs.uk/media/documents/VJT032/COSHH/64840_VJT032.pdf,Unknown,1,6440-58-0,<0.02,55406-53-6,<0.02,60-00-4,<1,1968-04-02,<1,,,,,,,,,,,,,,
Wipes?(168),Wipe patient dry (11),,Wipe patient dry 100% polypropylene 32gsm 260 x 220mm 100 wipes per pack ,-,VJT047 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe patient dry (11),,Wipe patient dry 80% polypropylene 20% cotton 48gsm 260 x 220mm 100 wipes per pack ,Liquid/Wipes,VJT050 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe alcohol based (21),,Wipe alcohol based 70% alcohol 130mm x 180mm 125 wipes per canister ,-,VJT057 ,https://media.supplychain.nhs.uk/media/documents/VJT057/COSHH/66761_VJT057.pdf,67-63-0,50 to 80,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Hand and face flow wrap 50gsm 195 x 155mm 80 wipes per pack maceratable ,-,VJT073 ,https://media.supplychain.nhs.uk/media/documents/VJT073/Specification/66278_VJT073.pdf,9005-65-6,,57-55-6,,6132-04-3.,,77-92-9,,139-33-3,,122-99-6,,65-85-0,,520-45-6,,68650-39-5,,7647-14-5,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Hand and face canister 23gsm 200 x 200mm 200 wipes per pack ,-,VJT074 ,https://media.supplychain.nhs.uk/media/documents/VJT074/Specification/66279_VJT074.pdf,57-55-6,<1,85507-69-3,<0.1,6132-04-3.,<0.1,77-92-9,<0.1,51981-21-6,<0.1,122-99-6,<1,65-85-0,<1,520-45-6,<1,1310-73-2,<0.1,532-32-1,<1,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Hand and face flow wrap 50gsm 195 x 155mm 24 wipes per pack maceratable ,-,VJT075 ,https://media.supplychain.nhs.uk/media/documents/VJT075/Specification/66280_VJT075.pdf,9005-64-5,,57-55-6,,6132-04-3.,,77-92-9,,139-33-3,,122-99-6,,65-85-0,,520-45-6,,68650-39-5,,7647-14-5,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Canister 23gsm 185 x 130mm 125 wipes per pack ,-,VJT076 ,https://media.supplychain.nhs.uk/media/documents/VJT076/Specification/66281_VJT076.pdf,57-55-6,<1,85507-69-3,<0.1,6132-04-3.,<0.1,77-92-9,<0.1,51981-21-6,<0.1,122-99-6,<1,65-85-0,<1,520-45-6,<1,1310-73-2,<0.1,532-32-1,<1,,,,
Wipes?(168),Wipe multi-surface detergent (26),,Wipe multi-surface detergent 245 x 300mm Non woven bucket dispenser latex free. 225 wipes per bucket. ,Liquid/Wipes,VJT077 ,https://media.supplychain.nhs.uk/media/documents/VJT077/Marketing/66526_VJT077.pdf,111-46-6,<0.1,68515-73-1,<0.5,,,,,,,,,,,,,,,,,,,,
